STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,04-09-1961,,,,,0,0,0,92,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,05-09-1961,,,,,0,0,0,94,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,06-09-1961,,,,,0.39,0,0,93,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,07-09-1961,,,,,0,0,0,88,69
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,08-09-1961,,,,,0,0,0,89,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,09-09-1961,,,,,0,0,0,93,66
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,10-09-1961,,,,,0,0,0,89,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,11-09-1961,,,,,0,0,0,90,69
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,12-09-1961,,,,,0.03,0,0,90,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,13-09-1961,,,,,0,0,0,91,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,14-09-1961,,,,,0,0,0,91,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,15-09-1961,,,,,0.04,0,0,82,60
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,16-09-1961,,,,,0,0,0,83,55
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,17-09-1961,,,,,0,0,0,77,46
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,18-09-1961,,,,,0,0,0,77,55
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,19-09-1961,,,,,0.07,0,0,67,57
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,20-09-1961,,,,,0.02,0,0,70,60
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,21-09-1961,,,,,0,0,0,84,60
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,22-09-1961,,,,,0,0,0,86,58
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,23-09-1961,,,,,0,0,0,92,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,24-09-1961,,,,,0,0,0,94,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,25-09-1961,,,,,0,0,0,96,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,26-09-1961,,,,,0,0,0,95,66
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,27-09-1961,,,,,0,0,0,94,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,28-09-1961,,,,,0,0,0,91,55
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,29-09-1961,,,,,0,0,0,89,50
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,30-09-1961,,,,,0,0,0,87,54
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,01-10-1961,,,,,0,0,0,87,49
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,02-10-1961,,,,,0,0,0,85,61
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,03-10-1961,,,,,0,0,0,87,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,04-10-1961,,,,,0.1,0,0,82,55
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,05-10-1961,,,,,0,0,0,75,39
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,06-10-1961,,,,,0,0,0,75,38
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,07-10-1961,,,,,0,0,0,78,38
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,08-10-1961,,,,,0,0,0,79,44
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,09-10-1961,,,,,0,0,0,80,47
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,10-10-1961,,,,,0,0,0,84,45
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,11-10-1961,,,,,0,0,0,88,48
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,12-10-1961,,,,,0,0,0,85,47
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,13-10-1961,,,,,0,0,0,87,44
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,14-10-1961,,,,,0,0,0,87,48
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,15-10-1961,,,,,0,0,0,83,37
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,16-10-1961,,,,,0,0,0,70,39
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,17-10-1961,,,,,0,0,0,79,41
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,18-10-1961,,,,,0,0,0,83,41
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,19-10-1961,,,,,0,0,0,82,43
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,20-10-1961,,,,,0,0,0,81,38
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,21-10-1961,,,,,0,0,0,60,40
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,22-10-1961,,,,,0,0,0,79,41
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,23-10-1961,,,,,0,0,0,77,41
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,24-10-1961,,,,,0,0,0,78,39
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,25-10-1961,,,,,0,0,0,79,42
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,26-10-1961,,,,,0,0,0,81,48
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,27-10-1961,,,,,0,0,0,77,34
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,28-10-1961,,,,,0,0,0,69,26
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,29-10-1961,,,,,0,0,0,75,30
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,30-10-1961,,,,,0,0,0,82,45
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,31-10-1961,,,,,0,0,0,85,50
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,01-11-1961,,,,,0,0,0,89,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,02-11-1961,,,,,0,0,0,89,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,03-11-1961,,,,,0,0,0,90,57
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,04-11-1961,,,,,0,0,0,87,60
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,05-11-1961,,,,,0,0,0,86,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,06-11-1961,,,,,0,0,0,83,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,07-11-1961,,,,,0,0,0,77,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,08-11-1961,,,,,0,0,0,83,39
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,09-11-1961,,,,,0,0,0,72,27
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,10-11-1961,,,,,0,0,0,68,30
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,11-11-1961,,,,,0,0,0,71,39
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,12-11-1961,,,,,0,0,0,72,46
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,13-11-1961,,,,,0,0,0,77,51
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,14-11-1961,,,,,0.32,0,0,79,57
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,15-11-1961,,,,,0,0,0,73,61
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,16-11-1961,,,,,0,0,0,75,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,17-11-1961,,,,,0,0,0,80,45
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,18-11-1961,,,,,0,0,0,71,41
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,19-11-1961,,,,,0,0,0,56,42
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,20-11-1961,,,,,0,0,0,50,36
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,21-11-1961,,,,,0,0,0,55,30
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,22-11-1961,,,,,0,0,0,55,24
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,23-11-1961,,,,,0.75,0,0,63,31
