STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,29-05-1945,0,,95,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,30-05-1945,0,,94,71
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,31-05-1945,0,,98,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,01-06-1945,0,,101,71
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,02-06-1945,0,,95,74
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,03-06-1945,0,,92,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,04-06-1945,0,,89,63
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,05-06-1945,0,,81,59
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,06-06-1945,0,,85,60
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,07-06-1945,0,,90,65
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,08-06-1945,0.34,,94,68
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,09-06-1945,0.06,,90,69
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,10-06-1945,0,,93,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,11-06-1945,0,,96,73
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,12-06-1945,0,,97,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,13-06-1945,0.46,,98,71
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,14-06-1945,0,,93,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,15-06-1945,0.4,,90,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,16-06-1945,0,,96,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,17-06-1945,0.59,,96,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,18-06-1945,0.21,,89,67
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,19-06-1945,0,,83,66
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,20-06-1945,0,,88,68
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,21-06-1945,0,,92,71
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,22-06-1945,0,,93,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,23-06-1945,0.1,,95,69
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,24-06-1945,0,,86,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,25-06-1945,0.12,,92,67
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,26-06-1945,0,,95,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,27-06-1945,0,,98,73
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,28-06-1945,0,,102,76
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,29-06-1945,0,,102,77
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,30-06-1945,0,,100,75
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,01-07-1945,0,,100,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,02-07-1945,0.28,,101,75
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,03-07-1945,0.19,,92,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,04-07-1945,0.23,,88,70
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,05-07-1945,0,,90,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,06-07-1945,0,,85,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,07-07-1945,1.15,,95,68
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,08-07-1945,0,,92,68
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,09-07-1945,0,,90,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,10-07-1945,0.05,,96,72
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,11-07-1945,0,,89,71
